delay_id,equipment_id,delay_start,delay_minutes,delay_category,production_impact,remarks
DL-0249,EQ-002,2026-05-21T07:00,157,Cooling Flow Restriction,Moderate,Delay log associated with Rolling Mill Main Motor.
DL-0250,EQ-005,2026-06-05T13:30,63,Process hold,Moderate,Delay log associated with Cooling Water Pump.
DL-0251,EQ-003,2026-05-18T01:30,154,Inspection,Moderate,Delay log associated with Blast Furnace Blower.
DL-0252,EQ-012,2026-05-22T23:00,137,Planned maintenance,Minor,Delay log associated with Cooling Tower Fan.
DL-0253,EQ-002,2026-06-27T21:30,95,Process hold,Moderate,Delay log associated with Rolling Mill Main Motor.
DL-0254,EQ-002,2026-05-03T07:45,143,Process hold,Severe,Delay log associated with Rolling Mill Main Motor.
DL-0255,EQ-009,2026-05-30T07:00,120,Planned maintenance,Severe,Delay log associated with Scale Breaker Motor.
DL-0256,EQ-002,2026-05-10T10:15,103,Cooling Flow Restriction,Minor,Delay log associated with Rolling Mill Main Motor.
DL-0257,EQ-003,2026-05-05T16:30,11,Process hold,Severe,Delay log associated with Blast Furnace Blower.
DL-0258,EQ-007,2026-06-25T11:30,150,Bearing Wear,Severe,Delay log associated with Dust Collector Fan.
DL-0259,EQ-004,2026-06-09T07:00,128,Process hold,Minor,Delay log associated with Ladle Crane Gearbox.
DL-0260,EQ-004,2026-06-08T08:00,106,Lubrication Failure,Severe,Delay log associated with Ladle Crane Gearbox.
DL-0261,EQ-010,2026-06-23T13:30,132,Inspection,Moderate,Delay log associated with Air Compressor.
DL-0262,EQ-006,2026-06-06T02:30,145,Inspection,Minor,Delay log associated with Conveyor Drive Unit.
DL-0263,EQ-005,2026-05-07T00:15,110,Inspection,Minor,Delay log associated with Cooling Water Pump.
DL-0264,EQ-008,2026-05-22T09:30,120,Process hold,Minor,Delay log associated with Reheat Furnace Burner.
DL-0265,EQ-009,2026-06-16T14:15,8,Planned maintenance,Severe,Delay log associated with Scale Breaker Motor.
DL-0266,EQ-011,2026-05-04T07:15,36,Inspection,Severe,Delay log associated with Lubrication Pump.
DL-0267,EQ-008,2026-05-27T03:45,156,Motor Overload,Moderate,Delay log associated with Reheat Furnace Burner.
DL-0268,EQ-003,2026-05-23T07:15,88,Inspection,Moderate,Delay log associated with Blast Furnace Blower.
DL-0269,EQ-012,2026-05-10T17:00,117,Process hold,Minor,Delay log associated with Cooling Tower Fan.
DL-0270,EQ-007,2026-06-12T12:30,142,Planned maintenance,Moderate,Delay log associated with Dust Collector Fan.
DL-0271,EQ-003,2026-05-15T19:00,130,Planned maintenance,Moderate,Delay log associated with Blast Furnace Blower.
DL-0272,EQ-007,2026-05-01T19:45,14,Planned maintenance,Minor,Delay log associated with Dust Collector Fan.
DL-0273,EQ-008,2026-05-20T08:30,44,Inspection,Severe,Delay log associated with Reheat Furnace Burner.
DL-0274,EQ-002,2026-06-28T04:45,125,Motor Overload,Severe,Delay log associated with Rolling Mill Main Motor.
DL-0275,EQ-012,2026-06-12T18:00,87,Process hold,Minor,Delay log associated with Cooling Tower Fan.
DL-0276,EQ-001,2026-06-23T17:15,59,Inspection,Severe,Delay log associated with Caster Hydraulic Pump.
DL-0277,EQ-011,2026-05-20T05:30,76,Bearing Wear,Moderate,Delay log associated with Lubrication Pump.
DL-0278,EQ-005,2026-05-27T23:00,92,Hydraulic Leakage,Moderate,Delay log associated with Cooling Water Pump.
DL-0279,EQ-001,2026-06-29T18:00,112,Process hold,Moderate,Delay log associated with Caster Hydraulic Pump.
DL-0280,EQ-009,2026-05-23T12:45,108,Process hold,Moderate,Delay log associated with Scale Breaker Motor.
DL-0281,EQ-010,2026-05-12T15:00,30,Inspection,Moderate,Delay log associated with Air Compressor.
DL-0282,EQ-010,2026-05-13T01:30,88,Planned maintenance,Severe,Delay log associated with Air Compressor.
DL-0283,EQ-012,2026-06-17T03:45,151,Inspection,Severe,Delay log associated with Cooling Tower Fan.
DL-0284,EQ-006,2026-06-20T15:15,110,Inspection,Moderate,Delay log associated with Conveyor Drive Unit.
DL-0285,EQ-004,2026-05-17T04:00,139,Bearing Wear,Moderate,Delay log associated with Ladle Crane Gearbox.
DL-0286,EQ-011,2026-05-10T00:15,9,Planned maintenance,Minor,Delay log associated with Lubrication Pump.
DL-0287,EQ-006,2026-05-03T20:15,18,Planned maintenance,Moderate,Delay log associated with Conveyor Drive Unit.
DL-0288,EQ-009,2026-06-30T00:45,86,Planned maintenance,Minor,Delay log associated with Scale Breaker Motor.
DL-0289,EQ-009,2026-06-13T16:15,6,Process hold,Moderate,Delay log associated with Scale Breaker Motor.
DL-0290,EQ-003,2026-06-12T08:15,27,Gearbox Misalignment,Minor,Delay log associated with Blast Furnace Blower.
DL-0291,EQ-008,2026-05-23T05:30,72,Planned maintenance,Moderate,Delay log associated with Reheat Furnace Burner.
DL-0292,EQ-011,2026-05-28T18:30,112,Process hold,Minor,Delay log associated with Lubrication Pump.
DL-0293,EQ-007,2026-05-25T05:30,36,Planned maintenance,Severe,Delay log associated with Dust Collector Fan.
DL-0294,EQ-011,2026-06-27T07:00,52,Process hold,Minor,Delay log associated with Lubrication Pump.
DL-0295,EQ-005,2026-05-05T04:15,85,Lubrication Failure,Minor,Delay log associated with Cooling Water Pump.
DL-0296,EQ-012,2026-06-17T07:30,157,Planned maintenance,Severe,Delay log associated with Cooling Tower Fan.
DL-0297,EQ-001,2026-06-25T21:30,15,Planned maintenance,Minor,Delay log associated with Caster Hydraulic Pump.
DL-0298,EQ-002,2026-05-25T22:15,12,Motor Overload,Moderate,Delay log associated with Rolling Mill Main Motor.
DL-0299,EQ-006,2026-05-05T09:15,120,Inspection,Minor,Delay log associated with Conveyor Drive Unit.
DL-0300,EQ-004,2026-05-23T14:45,117,Planned maintenance,Severe,Delay log associated with Ladle Crane Gearbox.
